uuid,name,description,location,date,start_time,end_time,tags,speakers
94fd360b-360f-4ab5-a125-f7da8f0ec203,A guided journey into AI,Do you feel like an explorer in uncharted territory with all the different terminology around the area of Artificial Intelligence? Dont despair!  In this session I'll explain the difference between classical machine learning and deep learning and their strengths and limitations.  Ill also show how modern AI advances allow us to combine natural language and vision to see what a neural network can imagine. Come get some inspiration and find out where to go next to learn about exciting AI topics!,Grand Ballroom B,2024-08-28,08:30:00,09:30:00,"['AI', 'Artificial Inteligence', 'Introductory and overview']",['Trinity Case']
f14c3984-97f0-4059-8c33-e2bb11dc003d,Chopping the monolith,"Micro services are ubiquitous. However, most companies that implement micro services do not reap their full benefits - at best. At worst, its an epic failure.

There are reasons for micro services: independent deployment of business capabilities. However, the unspoken assumption is that you need to deploy all capabilities all the time. My experience has shown me that its plain wrong. Some capabilities need frequent deployment, while some are much more stable. In “the past”, we used Rule Engines to allow updating business rules without deployment. While it solved the problem, this approach had issues. Between introducing a Rule Engine and migrating your complete system to micro services, I believe that theres a middle path, and that this path is Function-as-a-Service.

In this talk, Ill detail every point Ive made above, and show how one can use Serverless to pragmatically design a system that allows deploying as often as you need.",Grand Ballroom C,2024-08-28,08:30:00,09:30:00,"['microservices', 'Intermediate']",['Bentlee Maddox']
c701603d-7e35-4665-967f-5fae24a29a41,Orchestrate and build serverless solutions with Azure Logic Apps,"This presentation will cover how developers can and should be using Azure Logic Apps as a viable solution when building out serverless processes.  With over 200 connectors and the ability to orchestrate workflows, Logic Apps can get you up and running fairly quickly.  Logic Apps also allow for full integration with the Azure Active Directory, and can easily leverage other pieces of your Azure solutions, including Key Vaults and Azure Functions.  This talk will show how to use Logic Apps, as well as discuss the when and why for using logic apps.  The talk will also highlight a few gotchas and things every developer should know before committing to using logic apps.",Junior Ballroom A,2024-08-28,08:30:00,09:30:00,"['Azure', 'Logic Apps', 'Introductory and overview']",['Zainab Moran']
5ae17d17-0a66-4c6d-83d7-276515179104,But It was Logged!  Practical Logging & Monitoring with .NET Core,".NET Core makes writing log entries a breeze within your applications, however, that is where the out-of-the-box simplicity ends.  So you have decorated your code with all of these pretty log messages that are designed to make your life easier, but then what?  Have you actually reviewed them?  Something bad happened, did it tell you?  What about confidential information, have you limited that from being logged?

Well, this session is designed to help take your logging from ***IMPLEMENTED*** to ***USABLE***.  Logging is great, but we have so many questions to answer, including where you store the logs, how you get notifications etc.  In this code-focused solution, we explore the following concepts, with detailed examples.

* Where to log entries to, and flexible configurations
* Monitoring and escalation of log entries
* Integration with logging & external assemblies
* Configuration & build systems with logging

At the end of the session, attendees should be able to work with logging and exception handling in .NET Core effectively. ",Junior Ballroom B,2024-08-28,08:30:00,09:30:00,"['.net core', 'logging', 'Intermediate']","['Tate Estrada', 'Sawyer Roberts']"
08e9edd7-1724-4f8d-a2a7-f1e8ba7d371c,Leadership Journey: From Individual Contributor to Leader,"Youve spent years working on your technical skills and can write code with the best of them. Then, one day, a leadership position opens up on your team, and you start thinking about it. Should I or shouldnt I? What if I hate it? What if I love it? What if I'm not that good at it? In this interactive session,
well explore “why leadership,” answer some hard questions, and talk about one developers path from individual contributor to leader.",Junior Ballroom C,2024-08-28,08:30:00,09:30:00,"['leadership', 'team management', 'Introductory and overview']","['Josiah Leon', 'Jamie Boone']"
b9393ec1-13c7-4e15-8159-272930a7ec3e,"C# Past, Present, and Beyond",With the modern open source C# Compiler we've seen so many new language features it's hard to keep up. In this session we'll survey as many of the newer language features from C# 6 string interpolation to C#9 Records and see how you can take advantage of them in your applications today.,Junior Ballroom D,2024-08-28,08:30:00,09:30:00,"['c#', 'Intermediate']",['Mariam Hamilton']
7d84a35a-30e7-4530-990d-b2505bdeba65,3-Minute Improv Games to Improve Your Teams,"This unique workshop will have you out of your seat and on your feet actively practicing the techniques Improv Teams use to build Collaboration, Creativity, Communication, and Trust. This hands-on workshop provides actionable material for participants to use immediately upon returning to work. A flier with the top 20 games is provided to every participant.",Room D1,2024-08-28,08:30:00,09:30:00,"['team management', 'Intermediate']","['Jason Cuevas', 'Adele Castillo']"
9eb9d8db-d74e-44f7-a1e0-a8f06deda19e,"Exploring Serverless Options for .NET in Azure, AWS, and Beyond","When it comes to serverless hosting options for .NET, there are a bevy of choices available for deploying your application, from AWS to Azure to Google Cloud Platform (no, really). In this session, Spencer will explore the multitude of serverless options for .NET, from Azure App Service to AWS Lambdas to Azure Functions and more. We'll discuss the development experience, ease of deployment, and upfront (and downstream) costs. Finally, we'll talk about options for promoting your app should you outgrow your serverless solution.",Room D2,2024-08-28,08:30:00,09:30:00,"['.net', 'serverless', 'Intermediate']","['Kai George', 'Adelyn Carter', 'Maverick Garner']"
1d49d014-2bb0-4e7e-bb45-b83b345c2e9b,An Agile Approach to Documentation and Onboarding Your Team,"So, how's the documentation coming along on your project?  How long does it take to on-board someone on your team whether technical or non-technical?  Is your documentation getting lost in User Stories that get completed?

I have been working to discover effective approaches to documentation and creating on-boarding content for new team members.  I look forward to sharing some tools, techniques, and examples that you can apply to your next project.  The value of creating effective documentation is just as important as the product itself.",Room 101,2024-08-28,08:30:00,09:30:00,"['agile', 'documentation', 'Introductory and overview']",['Jacqueline Underwood']
fed52693-77ed-4994-8483-62e76021f3be,A new approach to upskilling your workforce,"""In order to scale initiatives. we need to transform the way the organization learns""

There is always a high need for new skills.  What is your strategy to upskill your workforce?  

I will share the training programs that I have created during a transformation that lead to higher learning retention and skills gain.  I will share what worked and how we not only changed the training approach, we also had to change the way we measured the effectiveness of the training to know if we are having a meaningful impact.",Room 102,2024-08-28,08:30:00,09:30:00,"['training', 'upskilling', 'Introductory and overview']",['Reece Walsh']
